Date,Close/Last,Volume,Open,High,Low
09/23/2022,33.84,1335332,33.69,33.95,33.6
09/22/2022,33.47,996129,33.33,33.61,33.2508
09/21/2022,33.4,1030096,33.27,33.66,33.1
09/20/2022,33.22,877852,33.12,33.49,33.12
09/19/2022,32.99,445331,32.98,33.2887,32.67
09/16/2022,32.91,944561,33.07,33.26,32.85
09/15/2022,33.01,603334,32.95,33.04,32.85
09/14/2022,32.93,521833,32.91,32.99,32.8
09/13/2022,32.97,1141782,32.8,32.99,32.74
09/12/2022,32.47,385859,32.49,32.6,32.2
09/09/2022,32.78,548292,32.85,32.885,32.57
09/08/2022,32.89,419914,32.79,32.96,32.73
09/07/2022,32.76,1199040,33.11,33.1774,32.71
09/06/2022,32.99,737684,32.78,33.163,32.78
09/02/2022,32.57,417484,32.5,32.65,32.27
09/01/2022,32.6,1187715,32.32,32.7,32.31
08/31/2022,32.09,547033,32.12,32.18,31.81
08/30/2022,32.06,902987,32,32.08,31.83
08/29/2022,31.92,742473,32,32.07,31.8237
08/26/2022,31.78,282942,31.9,31.9,31.5
08/25/2022,31.63,243225,31.83,31.8399,31.62
08/24/2022,31.9,268271,32.07,32.07,31.78
08/23/2022,31.93,543179,32.09,32.18,31.6372
08/22/2022,31.9,880658,32,32.16,31.732
08/19/2022,31.83,428475,31.68,31.91,31.6603
08/18/2022,31.54,687414,31.38,31.55,31.24
08/17/2022,31.27,335770,31.15,31.42,31.15
08/16/2022,31.18,325124,31.32,31.41,31.04
08/15/2022,31.15,64122,30.82,31.15,30.82
08/12/2022,31.02,113050,30.86,31.23,30.86
08/11/2022,31.18,151939,30.77,31.25,30.77
08/10/2022,30.97,433634,31.2,31.35,30.8201
08/09/2022,31.47,171058,31.5,31.67,31.35
08/08/2022,31.47,292626,31.42,31.6,31.16
08/05/2022,31.3,127903,30.87,31.67,30.87
08/04/2022,30.94,508809,31.44,31.44,30.9001
08/03/2022,31.42,119587,31.23,31.5,31.23
08/02/2022,31.24,152793,30.82,31.375,30.82
08/01/2022,30.87,395783,31.14,31.2,30.59
07/29/2022,31.24,116625,31.26,31.51,31.22
07/28/2022,31.42,383534,31.59,31.6688,31.36
07/27/2022,31.77,125747,32.03,32.05,31.68
07/26/2022,32.11,108345,31.85,32.11,31.85
07/25/2022,31.82,292809,31.74,31.8771,31.6701
07/22/2022,31.67,192224,31.74,31.778,31.51
07/21/2022,31.99,166193,32.44,32.44,31.96
07/20/2022,32.46,423390,32.4,32.5,32.2666
07/19/2022,32.31,206733,32.57,32.57,32.2035
07/18/2022,32.59,394366,32.59,32.59,32.3
07/15/2022,32.38,118094,32.61,32.6277,32.3297
07/14/2022,32.63,315178,32.59,32.7,32.25
07/13/2022,32.39,180963,32.44,32.51,32.15
07/12/2022,32.2,204511,32.53,32.61,32.1
07/11/2022,32.53,240901,32.4,32.7,32.4
07/08/2022,32.31,151142,32.23,32.4499,32.11
07/07/2022,32.21,507063,32.01,32.22,32.01
07/06/2022,32.11,513132,32.19,32.23,31.45
07/05/2022,32.08,1659054,32.26,32.378,31.89
07/01/2022,32.16,228496,32.36,32.4,32.0509
06/30/2022,32.4,172014,32.67,32.69,32.15
06/29/2022,32.66,223785,32.75,32.88,32.4379
06/28/2022,32.51,289978,32.22,33.19,32.22
06/27/2022,32.22,147710,32.11,32.3621,32.0481
06/24/2022,32,114124,32.12,32.1432,31.895
06/23/2022,32.07,1158489,32.3,32.39,31.9101
06/22/2022,32.42,283382,32.7,32.7,32.231
06/21/2022,32.97,429590,32.92,33.18,32.77
06/17/2022,32.65,375164,32.79,33.06,32.59
